
place_id,business_name,phone,address,category,rating,review_count,social_only,website,business_status
ChIJX-zi1SGjEmsRVfa49eaSmn8,"Speedy Lock, Bag & Shoe Repairs",(02) 9891 2229,"Queensland Arcade, Shop 10/181 Church St, Parramatta NSW 2150, Australia",locksmith,4.8,89,False,,OPERATIONAL
ChIJ___j_A6WEmsR1HP6FjzeWjM,Heng's Locksmith,0422 883 997,"2/86 Broomfield St, Cabramatta NSW 2166, Australia",locksmith,4.7,130,False,,OPERATIONAL
ChIJ67D3aqAVc2sR1AwHoaqNqMI,BDS Locksmiths,0411 888 662,"116 Macquarie St, Merewether NSW 2291, Australia",locksmith,4.7,3,False,,OPERATIONAL
ChIJTxCfJEkmc2sR4JK7TNVyi6Q,BDS Locksmiths,0411 888 662,"67 Yoorala Rd, Yarrawonga Park NSW 2261, Australia",locksmith,5,20,False,,OPERATIONAL
ChIJDYV33jQ9c2sROiF9tHb0KII,24Hr Emergency Locksmith,(02) 4025 9738,"764 Weemala St, Newcastle NSW 2300, Australia",locksmith,,,False,,OPERATIONAL
ChIJ3yqztycVc2sRCNQyF8BLocM,Keyman Engraving & Shoe Repairs Kotara,0410 979 130,"Northcott Dr, Kotara NSW 2289, Australia",service,4.8,293,False,,OPERATIONAL
ChIJg-lpLIIVc2sRQHCiG9jUE_E,"99 Keys Newcastle - Key Cutting, Engraving, Giftware & Trophies",0477 713 169,"Shop 8A/91 Turton Rd, Waratah NSW 2298, Australia",locksmith,4.9,51,True,https://www.facebook.com/99keyswaratah,OPERATIONAL
ChIJ0fSYWxHqlSURj5mrb7zE030,Homeland Locksmiths and Security,(02) 4225 2817,"13 Resolution Dr, Unanderra NSW 2526, Australia",locksmith,5,97,True,https://www.facebook.com/Homeland.Locksmiths/,OPERATIONAL
ChIJ_-ktOXrJcmsR7GyiNh3y5wI,BDS Locksmiths,0411 888 662,"27 Premier Way, Bateau Bay NSW 2261, Australia",locksmith,5,14,False,,OPERATIONAL
ChIJOzLNUoHlTAYR1r8ZnOfxvaE,BDS Locksmiths,0411 888 662,"1 Coogee Ave, The Entrance North NSW 2261, Australia",locksmith,5,8,False,,OPERATIONAL
ChIJCWfBflcM1moREAdA8jxWNBo,Cutting Edge Keys Carrum Downs,0499 088 266,"100 Hall Rd, Carrum Downs VIC 3201, Australia",locksmith,4.5,24,False,,OPERATIONAL
ChIJPS199PdE0WoRBiOLQTObb4A,Lock -U-Up Locksmiths,53312244,"13 Armstrong St N, Ballarat Central VIC 3350, Australia",locksmith,4.3,6,False,,OPERATIONAL
ChIJ70ByAm9QImcRzvL7Tuk-KBE,Mobile Locksmith In Brisbane,(07) 3733 1729,"32 Leichhardt St, Spring Hill QLD 4000, Australia",locksmith,5,153,False,,OPERATIONAL
ChIJb-_AnwajEmsRZ64XL5LXN_4,A Class Safe & Security Locksmiths,0416 877 791,"5 Chircan St, Old Toongabbie NSW 2146, Australia",locksmith,4.9,82,False,,OPERATIONAL
